                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6509,                 1.1895,                0.99652,                0.80725,                0.79049,                0.86716,                0.44936,                  1.638,                0.97222,                0.90831,             0.00089673,             0.00089673,             0.00089673
                      2,                  1.477,                0.78201,                0.92263,                0.93066,                0.88886,                0.94753,                0.56325,                  1.452,                0.72585,                0.88315,              0.0016504,              0.0016504,              0.0016504
                      3,                 1.3953,                0.69659,                0.90574,                0.93424,                0.92425,                0.96177,                0.61869,                  1.328,                0.60483,                0.84088,              0.0016504,              0.0016504,              0.0016504
                      4,                 1.3424,                0.64044,                0.89172,                0.97736,                0.92759,                0.97882,                0.65139,                 1.2693,                0.53495,                0.81464,              0.0016339,              0.0016339,              0.0016339
                      5,                 1.3563,                0.61825,                0.89271,                0.96639,                0.93284,                0.97693,                0.64678,                 1.2732,                0.54463,                0.83379,              0.0016173,              0.0016173,              0.0016173
                      6,                 1.3423,                0.59337,                0.88634,                0.95071,                0.94002,                0.97105,                 0.5437,                 1.5825,                0.56021,                0.86407,              0.0016007,              0.0016007,              0.0016007
                      7,                 1.3016,                0.56453,                0.87335,                0.95222,                0.93896,                0.97381,                0.64388,                 1.3049,                0.53641,                0.83012,              0.0015842,              0.0015842,              0.0015842
                      8,                 1.2482,                0.54078,                0.85903,                0.96869,                0.95258,                 0.9815,                0.65305,                 1.2475,                0.46403,                0.81029,              0.0015676,              0.0015676,              0.0015676
                      9,                 1.2462,                0.53226,                0.86434,                0.96467,                 0.9403,                0.97906,                0.67476,                 1.2226,                0.45512,                 0.8046,               0.001551,               0.001551,               0.001551
                     10,                 1.2523,                0.52341,                0.86016,                0.97585,                0.94889,                 0.9785,                0.66864,                 1.2081,                0.45786,                0.79814,              0.0015345,              0.0015345,              0.0015345
                     11,                 1.2371,                0.50978,                0.85885,                0.96904,                0.96139,                0.98331,                0.65057,                 1.3146,                0.45326,                0.80592,              0.0015179,              0.0015179,              0.0015179
                     12,                 1.2208,                0.49714,                0.85828,                0.96613,                0.94954,                0.98283,                0.68656,                 1.1675,                0.41792,                0.79139,              0.0015013,              0.0015013,              0.0015013
                     13,                  1.175,                0.47466,                0.84216,                0.96557,                0.96432,                0.98762,                0.69509,                 1.1583,                0.42498,                0.77959,              0.0014848,              0.0014848,              0.0014848
                     14,                 1.1846,                0.47861,                0.84345,                 0.9656,                0.95499,                0.97679,                0.68093,                 1.1684,                0.41765,                0.78586,              0.0014682,              0.0014682,              0.0014682
                     15,                 1.1833,                0.46869,                0.84322,                0.97645,                0.96189,                0.98465,                0.69537,                 1.1587,                0.40683,                0.78201,              0.0014516,              0.0014516,              0.0014516
                     16,                 1.1805,                0.46353,                0.84267,                0.97636,                0.96362,                0.98487,                0.68784,                 1.1937,                0.40614,                0.78895,              0.0014351,              0.0014351,              0.0014351
                     17,                  1.162,                0.45814,                 0.8381,                0.96925,                0.96367,                0.98334,                0.70593,                 1.1345,                0.41025,                0.77994,              0.0014185,              0.0014185,              0.0014185
                     18,                 1.1856,                0.45783,                 0.8411,                0.98486,                0.95499,                0.98414,                0.64705,                 1.3302,                 0.4074,                0.80148,              0.0014019,              0.0014019,              0.0014019
                     19,                 1.1457,                0.44161,                0.83272,                0.97164,                0.96502,                0.98277,                 0.6931,                 1.1883,                0.39964,                0.79143,              0.0013854,              0.0013854,              0.0013854
                     20,                 1.1369,                0.43445,                0.83099,                0.98186,                0.96446,                0.98649,                0.69656,                 1.1676,                0.40132,                0.78127,              0.0013688,              0.0013688,              0.0013688
                     21,                 1.1077,                0.42715,                0.82013,                0.96495,                0.97272,                0.98697,                0.71023,                 1.1365,                0.37351,                0.77806,              0.0013522,              0.0013522,              0.0013522
                     22,                 1.1127,                0.42738,                0.82243,                0.98504,                   0.96,                0.98789,                0.71301,                 1.1312,                0.36999,                 0.7771,              0.0013357,              0.0013357,              0.0013357
                     23,                 1.1212,                0.42578,                 0.8261,                0.97614,                0.97224,                0.98744,                0.70558,                 1.1412,                0.37636,                 0.7791,              0.0013191,              0.0013191,              0.0013191
                     24,                 1.0936,                0.41376,                 0.8182,                0.98446,                0.96683,                0.98826,                0.72177,                 1.0994,                0.36302,                0.76803,              0.0013025,              0.0013025,              0.0013025
                     25,                 1.0839,                0.41753,                0.81938,                0.98255,                0.95925,                0.98633,                0.70755,                 1.1261,                0.37696,                 0.7766,               0.001286,               0.001286,               0.001286
                     26,                 1.0872,                0.41422,                0.81948,                0.98357,                0.96253,                0.98662,                0.71299,                 1.1377,                0.36522,                0.77063,              0.0012694,              0.0012694,              0.0012694
                     27,                   1.09,                0.40947,                0.81487,                0.97892,                0.96378,                0.98666,                0.71929,                 1.1104,                0.34832,                 0.7649,              0.0012528,              0.0012528,              0.0012528
                     28,                 1.0674,                 0.4001,                0.81306,                0.97726,                0.97371,                0.98685,                0.70667,                 1.1584,                0.36754,                0.78132,              0.0012363,              0.0012363,              0.0012363
                     29,                 1.1058,                0.40473,                0.81827,                0.97885,                 0.9699,                0.98943,                0.72138,                 1.1084,                0.35364,                0.76974,              0.0012197,              0.0012197,              0.0012197
                     30,                 1.0739,                0.39682,                0.81408,                0.98813,                0.96551,                0.98576,                0.71596,                 1.1467,                0.35053,                0.77153,              0.0012031,              0.0012031,              0.0012031
                     31,                 1.0363,                0.38284,                0.80295,                0.98379,                0.96885,                0.98594,                0.72802,                 1.0933,                0.34382,                0.76552,              0.0011866,              0.0011866,              0.0011866
                     32,                 1.0419,                0.39023,                0.80396,                0.97518,                 0.9679,                0.98775,                0.70433,                 1.1703,                0.37078,                0.78127,                0.00117,                0.00117,                0.00117
                     33,                 1.0538,                0.39285,                0.81138,                0.97154,                0.97093,                0.98637,                0.71278,                 1.1201,                0.36196,                0.77395,              0.0011534,              0.0011534,              0.0011534
                     34,                 1.0396,                0.38629,                0.80623,                0.97126,                0.97019,                0.98585,                0.70787,                 1.1226,                0.35421,                0.77351,              0.0011369,              0.0011369,              0.0011369
                     35,                 1.0359,                0.38157,                0.80377,                 0.9792,                0.97444,                0.98886,                0.71979,                 1.1285,                0.35047,                0.76879,              0.0011203,              0.0011203,              0.0011203
                     36,                 1.0275,                0.38082,                0.80095,                0.98169,                 0.9704,                0.98743,                0.72708,                 1.1017,                0.33162,                0.76225,              0.0011037,              0.0011037,              0.0011037
                     37,                 1.0311,                0.38024,                0.80304,                0.98353,                0.96233,                0.98418,                0.72152,                 1.1174,                0.34847,                0.76456,              0.0010872,              0.0010872,              0.0010872
                     38,                 1.0139,                 0.3756,                0.79835,                0.97997,                0.96629,                0.98582,                0.72296,                 1.1016,                 0.3444,                0.76447,              0.0010706,              0.0010706,              0.0010706
                     39,                 1.0148,                0.37617,                0.80044,                0.97145,                0.97088,                0.98583,                0.72369,                 1.1283,                0.34519,                0.77057,               0.001054,               0.001054,               0.001054
                     40,                 1.0015,                0.37126,                0.79706,                 0.9847,                0.97745,                0.98872,                0.71564,                 1.1367,                 0.3459,                0.77514,              0.0010375,              0.0010375,              0.0010375
                     41,                0.99853,                0.36725,                0.79866,                0.97882,                0.96405,                 0.9849,                0.69219,                  1.204,                0.37134,                0.79439,              0.0010209,              0.0010209,              0.0010209
                     42,                 1.0058,                0.36833,                0.79701,                0.98787,                0.97236,                0.98897,                0.73457,                 1.0899,                 0.3313,                0.76475,              0.0010043,              0.0010043,              0.0010043
