fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.72963,0.01027,0.01033,0.93038,0.00051,2.89715,0.60719,7.45953,0.44658,1.39703,0.01204,0.7691,0.46525,0.0,0.09319,0.40937,0.0,0.0,0.0,0.5084,0.83653,0.0,0.0
0.72837,0.01113,0.01283,0.92394,0.00054,2.70926,0.65279,4.90911,0.44658,1.39703,0.01052,0.7394,0.34286,0.0,0.09319,0.32565,0.0,0.0,0.0,0.5804,0.86737,0.0,0.0
0.72946,0.0075,0.00919,0.78706,0.00056,1.98505,0.60748,7.45953,0.38052,1.32632,0.01204,0.7691,0.42414,0.0,0.09319,0.27252,0.0,0.0,0.0,0.35641,0.98752,0.0,0.0
0.71958,0.00735,0.00914,0.79365,0.00054,2.00234,0.60186,7.47195,0.37576,1.34002,0.01196,0.76636,0.41387,0.0,0.09478,0.27309,0.0,0.0,0.0,0.3624,1.0,0.0,0.0
0.72391,0.00736,0.00919,0.78706,0.00059,1.98505,0.60748,6.14559,0.36825,1.0569,0.01012,0.68748,0.47956,0.0,0.08336,0.27099,0.0,0.0,0.0,0.3923,0.93379,0.0,0.0
0.72796,0.00766,0.00919,0.78111,0.00057,1.86288,0.63331,7.69796,0.38052,1.45599,0.0125,0.74849,0.41072,0.0,0.09319,0.27252,0.0,0.0,0.0,0.34029,0.97824,0.0,0.0
0.72888,0.00852,0.0085,0.77349,0.00055,2.09539,0.60748,7.47557,0.40107,1.31096,0.01204,0.7691,0.43273,0.0,0.09133,0.27737,0.0,0.0,0.0,0.3465,0.98703,0.0,0.0
0.70352,0.00965,0.0088,0.81529,0.00055,1.77089,0.59904,8.27476,0.33445,1.32632,0.01238,0.9,0.31897,0.0,0.08649,0.31743,0.0,0.0,0.0,0.4695,0.83778,0.0,0.0
0.69289,0.00916,0.0089,0.95913,0.00051,2.86211,0.66366,8.50624,0.44658,1.22248,0.01242,0.86862,0.50484,0.0,0.10916,0.34894,0.0,0.0,0.0,0.5084,0.96441,0.0,0.0
0.7304,0.00709,0.00677,0.79026,0.00054,1.8395,0.60748,8.7258,0.36118,1.19067,0.01467,0.72116,0.32877,0.0,0.09635,0.29582,0.0,0.0,0.0,0.35641,0.98106,0.0,0.0
